transaction_id,amount,transaction_hour,merchant_category,device_type,location,failed_attempts,account_age_days,is_fraud,iqr_anomaly
TXN000053,65.87,9,Other,Android,Hyderabad,0,1897,0,0
TXN000054,309.21,17,Food,Android,Chennai,0,1904,0,0
TXN000055,511.42,2,Travel,iOS,Bangalore,0,882,1,0
TXN000056,453.75,10,Travel,Android,Mumbai,0,1273,0,0
TXN000057,54.21,17,Entertainment,Android,Delhi,0,1774,0,0
TXN000058,102.41,2,Entertainment,Web,Hyderabad,0,2578,0,0
TXN000059,220.86,7,Shopping,iOS,Delhi,0,2070,0,0
TXN000060,478.5,13,Travel,iOS,Delhi,0,1055,0,0
TXN000061,83.51,5,Travel,iOS,Hyderabad,0,739,0,0
TXN000062,118.77,14,Food,Android,Delhi,1,2678,0,0
TXN000063,39.35,13,Shopping,Android,Mumbai,0,99,0,0
TXN000064,35.32,6,Shopping,Android,Pune,0,734,0,0
TXN000065,393.48,9,Other,Android,Pune,0,75,1,0
TXN000066,755.58,14,Entertainment,Android,Pune,1,1684,0,1
TXN000067,136.13,9,Other,iOS,Pune,0,2815,0,0
TXN000068,494.84,21,Shopping,Android,Chennai,0,946,0,0
TXN000069,229.06,16,Food,iOS,Bangalore,0,2569,0,0
TXN000070,68.43,18,Shopping,Android,Delhi,2,2574,0,0
TXN000071,228.99,16,Other,Android,Hyderabad,0,1080,1,0
TXN000072,939.78,11,Bills,Android,Mumbai,1,1244,0,1
TXN000073,142.17,14,Bills,iOS,Delhi,1,1844,0,0
TXN000074,970.27,11,Food,Android,Chennai,0,897,0,1
TXN000075,6.4,8,Entertainment,iOS,Chennai,1,253,0,0
TXN000076,397.93,4,Travel,iOS,Hyderabad,0,1111,0,0
TXN000077,164.75,3,Shopping,Android,Delhi,0,842,0,0
TXN000078,103.67,11,Other,Android,Pune,0,750,0,0
TXN000079,165.69,15,Entertainment,Web,Delhi,2,2731,0,0
TXN000080,13.67,8,Other,Android,Delhi,0,2606,0,0
TXN000081,114.02,2,Entertainment,Android,Chennai,0,954,0,0
TXN000082,227.82,20,Shopping,iOS,Delhi,0,525,0,0
TXN000083,874.34,2,Travel,iOS,Pune,0,2829,0,1
TXN000084,79.68,17,Shopping,Android,Delhi,0,1091,0,0
TXN000085,56.25,16,Travel,Android,Delhi,1,2135,1,0
TXN000086,81.28,9,Other,Android,Delhi,0,1400,0,0
TXN000087,445.18,1,Food,Android,Pune,0,558,0,0
TXN000088,220.19,23,Travel,Android,Pune,0,661,0,0
TXN000089,78.59,10,Entertainment,Android,Hyderabad,0,564,0,0
TXN000090,274.77,23,Food,Android,Chennai,0,511,0,0
TXN000091,166.75,2,Other,iOS,Bangalore,0,2799,0,0
TXN000092,474.55,22,Bills,iOS,Hyderabad,0,242,0,0
TXN000093,63.91,22,Food,iOS,Pune,0,2225,0,0
TXN000094,100.16,1,Travel,Android,Delhi,0,1149,0,0
TXN000095,92.71,8,Food,Android,Bangalore,0,489,0,0
TXN000096,25.63,18,Other,Android,Mumbai,0,2337,0,0
TXN000097,211.74,1,Food,iOS,Bangalore,0,102,0,0
TXN000098,203.01,18,Other,Android,Hyderabad,0,360,1,0
TXN000099,149.33,1,Bills,Android,Chennai,0,78,1,0
TXN000100,112.0,14,Travel,Android,Hyderabad,0,823,0,0
TXN000101,27.15,23,Entertainment,Android,Chennai,0,534,0,0
TXN000102,89.59,20,Food,Android,Chennai,0,2109,0,0
TXN000103,98.37,2,Shopping,Android,Pune,0,2617,0,0
TXN000104,56.67,4,Entertainment,Android,Chennai,0,2896,0,0
TXN000105,122.3,10,Food,iOS,Mumbai,0,709,0,0
TXN000106,241.02,23,Entertainment,Android,Bangalore,1,2114,0,0
TXN000107,1427.13,6,Shopping,iOS,Hyderabad,1,2823,1,1
TXN000108,183.0,5,Entertainment,Android,Hyderabad,0,1232,0,0
TXN000109,202.16,13,Entertainment,Android,Chennai,2,86,0,0
TXN000110,135.73,0,Shopping,Android,Pune,0,365,0,0
TXN000111,14.84,16,Shopping,Android,Mumbai,0,2573,0,0
TXN000112,143.77,16,Shopping,Android,Mumbai,1,613,0,0
TXN000113,159.54,13,Bills,Android,Delhi,0,2272,0,0
TXN000114,2852.33,9,Other,iOS,Mumbai,0,32,1,1
TXN000115,117.82,7,Other,Android,Chennai,0,2279,0,0
TXN000116,213.12,7,Shopping,Android,Chennai,1,1961,0,0
TXN000117,142.36,13,Other,Android,Bangalore,0,236,0,0
TXN000118,36.51,6,Entertainment,Android,Chennai,0,1164,0,0
TXN000119,584.87,5,Shopping,Android,Bangalore,1,2640,0,0
TXN000120,365.89,3,Food,Web,Mumbai,0,2827,0,0
TXN000121,383.46,0,Shopping,Android,Delhi,0,936,0,0
TXN000122,49.84,14,Shopping,Android,Pune,0,1961,0,0
TXN000123,798.99,14,Other,iOS,Hyderabad,1,2031,0,1
TXN000124,27.6,0,Travel,iOS,Chennai,0,1334,0,0
TXN000125,300.13,19,Entertainment,Web,Mumbai,1,1279,0,0
TXN000126,2056.06,2,Other,iOS,Chennai,0,1591,1,1
TXN000127,45.21,22,Entertainment,iOS,Bangalore,1,2293,1,0
TXN000128,75.22,4,Food,Web,Mumbai,0,2669,0,0
TXN000129,167.27,4,Bills,Android,Hyderabad,0,2299,0,0
TXN000130,81.11,3,Travel,iOS,Bangalore,0,1614,1,0
TXN000131,23.09,16,Food,iOS,Mumbai,1,1393,1,0
TXN000132,161.14,20,Food,iOS,Pune,1,1625,0,0
TXN000133,41.48,19,Entertainment,Web,Pune,1,903,0,0
TXN000134,261.99,13,Travel,Android,Hyderabad,0,783,0,0
TXN000135,49.24,7,Entertainment,Android,Pune,1,475,0,0
TXN000136,953.29,1,Bills,Web,Bangalore,0,2456,0,1
TXN000137,57.98,7,Entertainment,Android,Hyderabad,3,424,0,0
TXN000138,100.84,0,Shopping,iOS,Mumbai,0,1409,1,0
TXN000139,393.95,3,Entertainment,Android,Bangalore,0,2029,0,0
TXN000140,33.88,18,Shopping,iOS,Pune,0,672,0,0
TXN000141,194.99,4,Food,Web,Delhi,0,2518,0,0
TXN000142,712.35,4,Bills,Android,Chennai,0,243,1,0
TXN000143,21.56,20,Other,Android,Pune,0,157,0,0
TXN000144,185.22,19,Shopping,Android,Delhi,0,541,0,0
TXN000145,202.73,23,Bills,iOS,Hyderabad,0,1672,0,0
TXN000146,379.25,18,Entertainment,iOS,Mumbai,0,1506,0,0
TXN000147,33.64,11,Other,Android,Chennai,1,735,0,0
TXN000148,30.43,19,Entertainment,Android,Mumbai,0,2985,0,0
TXN000149,277.64,0,Food,iOS,Hyderabad,0,1098,0,0
TXN000150,211.96,6,Entertainment,iOS,Mumbai,0,2134,0,0
TXN000151,200.46,16,Shopping,Android,Bangalore,0,415,0,0
TXN000152,224.92,1,Food,Android,Bangalore,1,1236,1,0
TXN000153,65.63,10,Bills,iOS,Pune,1,1840,1,0
TXN000154,196.12,6,Food,Android,Pune,0,1370,0,0
TXN000155,210.96,16,Bills,Web,Pune,0,1461,0,0
TXN000156,62.98,2,Travel,Android,Pune,1,2594,0,0
TXN000157,1392.6,21,Shopping,iOS,Hyderabad,1,1984,0,1
TXN000158,262.07,5,Shopping,Android,Mumbai,0,1084,0,0
TXN000159,35.53,21,Bills,Web,Pune,0,1544,0,0
TXN000160,326.32,10,Entertainment,Android,Hyderabad,0,969,0,0
TXN000161,46.08,17,Other,Android,Chennai,0,2545,0,0
TXN000162,381.65,17,Entertainment,Android,Pune,0,2951,0,0
TXN000163,596.04,21,Travel,iOS,Mumbai,1,1902,0,0
TXN000164,55.43,9,Bills,Android,Bangalore,0,2473,0,0
TXN000165,471.56,4,Travel,Android,Delhi,0,448,0,0
TXN000166,243.55,22,Bills,Android,Bangalore,0,1426,0,0
TXN000167,398.01,22,Travel,Android,Mumbai,1,2714,0,0
TXN000168,1445.41,20,Bills,Android,Mumbai,0,2949,0,1
TXN000169,110.56,23,Shopping,Android,Mumbai,0,2614,1,0
TXN000170,60.07,21,Travel,iOS,Mumbai,1,1206,0,0
TXN000171,51.04,14,Travel,iOS,Pune,0,2826,0,0
TXN000172,55.76,20,Bills,iOS,Chennai,2,2803,0,0
TXN000173,135.3,19,Food,Web,Delhi,0,1706,0,0
TXN000174,223.49,22,Food,Android,Pune,2,1351,0,0
TXN000175,206.86,3,Shopping,iOS,Bangalore,0,298,0,0
TXN000176,400.46,20,Entertainment,Android,Chennai,0,2408,0,0
TXN000177,150.75,20,Entertainment,Android,Hyderabad,0,1225,0,0
TXN000178,849.15,0,Shopping,Android,Mumbai,0,1515,0,1
TXN000179,108.03,14,Entertainment,Android,Bangalore,0,320,1,0
TXN000180,3882.38,16,Other,Android,Hyderabad,1,844,0,1
TXN000181,314.44,18,Other,Android,Delhi,1,264,0,0
TXN000182,53.06,13,Other,iOS,Bangalore,0,1472,0,0
TXN000183,41.06,18,Other,Android,Chennai,0,335,0,0
TXN000184,264.8,17,Bills,iOS,Pune,0,1541,0,0
TXN000185,113.5,1,Food,Android,Hyderabad,0,116,0,0
TXN000186,349.6,5,Shopping,Android,Bangalore,0,2885,0,0
TXN000187,261.88,12,Bills,Android,Pune,1,1386,0,0
TXN000188,135.99,16,Other,Android,Pune,1,739,0,0
TXN000189,53.72,5,Shopping,Android,Pune,1,762,0,0
TXN000190,24.1,20,Food,iOS,Chennai,1,1351,0,0
TXN000191,86.85,21,Entertainment,iOS,Mumbai,1,2903,0,0
TXN000192,414.75,4,Bills,Android,Bangalore,0,1854,0,0
TXN000193,191.89,6,Food,Android,Pune,1,1989,0,0
TXN000194,33.29,0,Shopping,iOS,Mumbai,0,446,0,0
TXN000195,182.69,12,Travel,Android,Pune,0,1307,0,0
TXN000196,235.66,18,Bills,Android,Hyderabad,0,981,0,0
TXN000197,51.39,21,Shopping,Android,Hyderabad,1,1816,0,0
TXN000198,178.48,0,Shopping,iOS,Hyderabad,1,2445,0,0
TXN000199,159.15,12,Food,iOS,Mumbai,0,2210,0,0
TXN000200,37.65,10,Shopping,iOS,Mumbai,0,2139,0,0
TXN000201,228.0,6,Bills,Android,Pune,0,1669,0,0
TXN000202,290.89,19,Other,Android,Chennai,1,481,0,0
TXN000203,544.39,2,Bills,Android,Bangalore,0,1131,0,0
TXN000204,525.61,0,Shopping,iOS,Chennai,0,2798,0,0
TXN000205,28.41,7,Food,iOS,Mumbai,0,2182,0,0
TXN000206,48.16,16,Bills,Android,Bangalore,0,2680,0,0
TXN000207,275.35,12,Travel,Android,Hyderabad,1,2753,0,0
TXN000208,274.94,13,Other,Android,Chennai,0,2471,0,0
TXN000209,275.35,4,Entertainment,Android,Chennai,1,1168,0,0
TXN000210,15112.5,23,Food,Android,Chennai,0,1715,1,1
TXN000211,294.44,21,Food,Android,Mumbai,1,2822,0,0
TXN000212,579.8,22,Entertainment,Web,Bangalore,0,627,0,0
TXN000213,466.29,23,Entertainment,Android,Hyderabad,0,1593,0,0
TXN000214,324.3,5,Bills,Android,Mumbai,0,77,0,0
TXN000215,101.66,21,Shopping,Android,Hyderabad,0,217,0,0
TXN000216,368.99,5,Shopping,Android,Delhi,0,1649,0,0
TXN000217,58.71,20,Travel,Android,Delhi,0,1628,0,0
TXN000218,111.7,7,Other,iOS,Hyderabad,0,2591,0,0
TXN000219,82.89,12,Shopping,Android,Delhi,0,820,0,0
TXN000220,163.73,17,Travel,Web,Bangalore,0,2303,0,0
TXN000221,2386.52,22,Travel,Android,Bangalore,0,953,0,1
TXN000222,15.79,3,Food,Android,Mumbai,2,1811,0,0
TXN000223,338.16,16,Food,Android,Hyderabad,1,1259,0,0
TXN000224,21.43,4,Other,iOS,Mumbai,0,657,0,0
TXN000225,84.24,2,Bills,Android,Bangalore,0,2846,0,0
TXN000226,548.26,3,Entertainment,Android,Bangalore,1,1030,0,0
TXN000227,160.31,22,Entertainment,Android,Bangalore,0,1270,0,0
TXN000228,40.72,4,Other,Web,Chennai,0,485,0,0
TXN000229,62.91,13,Travel,Android,Delhi,0,1011,1,0
TXN000230,335.46,14,Other,Android,Mumbai,0,2970,1,0
TXN000231,61.78,19,Entertainment,Android,Mumbai,0,1796,1,0
TXN000232,192.43,16,Travel,Android,Bangalore,0,1552,0,0
TXN000233,156.76,5,Entertainment,Android,Chennai,0,2315,0,0
TXN000234,67.9,9,Bills,Android,Mumbai,0,1360,0,0
TXN000235,1944.45,21,Food,iOS,Pune,1,2839,1,1
TXN000236,317.57,22,Food,Android,Mumbai,0,1643,1,0
TXN000237,13.06,15,Travel,iOS,Chennai,0,2231,0,0
TXN000238,185.63,16,Other,iOS,Bangalore,1,2819,0,0
TXN000239,67.08,13,Entertainment,Android,Chennai,0,1150,0,0
TXN000240,412.78,19,Shopping,iOS,Delhi,0,681,0,0
TXN000241,57.34,11,Bills,iOS,Mumbai,0,1146,0,0
TXN000242,129.32,8,Entertainment,iOS,Delhi,0,681,0,0
TXN000243,272.05,14,Shopping,iOS,Mumbai,0,1082,0,0
TXN000244,419.43,11,Bills,iOS,Delhi,0,902,1,0
TXN000245,35.15,13,Bills,Android,Mumbai,0,1114,0,0
TXN000246,99.34,21,Food,iOS,Pune,0,2118,0,0
TXN000247,83.94,17,Travel,Android,Bangalore,1,2737,0,0
TXN000248,67.76,19,Entertainment,iOS,Pune,4,1867,0,0
TXN000249,1234.65,5,Bills,Android,Hyderabad,1,2836,0,1
TXN000250,241.28,3,Entertainment,iOS,Chennai,1,1723,0,0
TXN000251,32.69,22,Bills,Android,Mumbai,0,2372,0,0
TXN000252,446.5,11,Other,iOS,Chennai,1,1349,0,0
TXN000253,1894.27,12,Food,iOS,Mumbai,1,1232,0,1
TXN000254,512.32,18,Travel,iOS,Hyderabad,0,2335,0,0
TXN000255,23.97,21,Shopping,iOS,Bangalore,0,2807,0,0
TXN000256,83.01,12,Shopping,Android,Bangalore,0,1502,0,0
TXN000257,678.78,11,Other,iOS,Chennai,2,1049,0,0
TXN000258,63.48,19,Food,iOS,Pune,1,1317,0,0
TXN000259,252.8,2,Bills,iOS,Hyderabad,0,2364,0,0
TXN000260,375.99,2,Food,Web,Chennai,0,1604,0,0
TXN000261,48.8,13,Travel,Android,Bangalore,0,1241,0,0
TXN000262,138.18,17,Shopping,Android,Delhi,0,2319,0,0
TXN000263,3.04,18,Entertainment,Android,Chennai,0,1648,0,0
TXN000264,43.41,9,Shopping,iOS,Mumbai,0,2282,0,0
TXN000265,109.61,16,Travel,Android,Bangalore,0,685,0,0
TXN000266,33.2,14,Bills,iOS,Mumbai,0,2356,0,0
TXN000267,1052.47,18,Food,Android,Hyderabad,0,424,1,1
TXN000268,26.68,8,Shopping,iOS,Pune,1,501,1,0
TXN000269,87.53,3,Shopping,iOS,Pune,0,1430,0,0
TXN000270,173.62,14,Entertainment,Android,Bangalore,1,1747,0,0
TXN000271,836.75,18,Food,iOS,Bangalore,0,999,0,1
TXN000272,26.5,15,Entertainment,iOS,Pune,1,1046,0,0
TXN000273,599.32,7,Entertainment,Android,Chennai,0,1378,0,0
TXN000274,150.25,16,Bills,Android,Pune,0,86,0,0
TXN000275,45.7,20,Shopping,Android,Pune,0,493,0,0
TXN000276,258.4,0,Other,iOS,Chennai,0,991,0,0
TXN000277,188.46,6,Food,Android,Mumbai,0,631,0,0
TXN000278,72.22,20,Bills,Android,Chennai,1,545,0,0
TXN000279,161.38,17,Other,Android,Delhi,0,2810,0,0
TXN000280,93.47,11,Bills,Android,Bangalore,0,2733,0,0
TXN000281,170.07,15,Bills,iOS,Pune,1,51,0,0
TXN000282,328.51,0,Travel,iOS,Hyderabad,0,733,0,0
TXN000283,995.48,14,Travel,Android,Bangalore,0,355,0,1
TXN000284,33.6,6,Bills,iOS,Pune,0,1785,0,0
TXN000285,1919.15,16,Travel,iOS,Mumbai,0,936,0,1
TXN000286,14.26,2,Food,Android,Pune,0,2503,0,0
TXN000287,123.7,10,Shopping,Android,Chennai,0,1394,0,0
TXN000288,300.66,5,Other,iOS,Bangalore,0,759,0,0
TXN000289,207.93,5,Food,iOS,Chennai,0,68,0,0
TXN000290,70.3,14,Shopping,iOS,Pune,0,972,1,0
TXN000291,115.61,6,Travel,Android,Mumbai,0,59,1,0
TXN000292,82.14,10,Other,iOS,Chennai,0,2238,0,0
TXN000293,73.17,16,Food,iOS,Hyderabad,1,645,0,0
TXN000294,411.38,22,Entertainment,iOS,Pune,1,1723,0,0
TXN000295,227.79,17,Bills,Web,Mumbai,0,1986,0,0
TXN000296,64.62,21,Shopping,Web,Bangalore,1,2386,0,0
TXN000297,436.82,23,Shopping,iOS,Bangalore,0,1975,1,0
TXN000298,214.6,20,Entertainment,Android,Hyderabad,0,2211,0,0
TXN000299,393.64,18,Entertainment,iOS,Delhi,0,2643,0,0
TXN000300,315.94,7,Bills,Android,Chennai,1,1953,0,0
TXN000301,54.88,23,Travel,iOS,Pune,2,1388,0,0
TXN000302,75.78,19,Food,Android,Bangalore,0,65,0,0
TXN000303,363.85,7,Food,iOS,Pune,0,860,0,0
TXN000304,308.72,20,Food,Android,Hyderabad,0,1696,0,0
TXN000305,144.74,10,Travel,iOS,Chennai,0,109,0,0
TXN000306,170.85,20,Bills,Android,Mumbai,0,813,0,0
TXN000307,687.59,2,Food,Android,Pune,0,466,0,0
TXN000308,72.97,22,Shopping,iOS,Hyderabad,0,1173,0,0
TXN000309,286.15,13,Shopping,iOS,Mumbai,0,1187,0,0
TXN000310,116.44,8,Shopping,Android,Mumbai,0,434,0,0
TXN000311,114.29,0,Entertainment,Android,Mumbai,0,1770,0,0
TXN000312,554.76,0,Entertainment,Android,Chennai,1,294,0,0
TXN000313,399.61,11,Travel,iOS,Delhi,0,262,0,0
TXN000314,393.95,10,Food,Web,Pune,1,476,0,0
TXN000315,710.93,20,Entertainment,iOS,Mumbai,1,2504,0,0
TXN000316,152.2,0,Shopping,Android,Bangalore,0,997,0,0
TXN000317,336.41,19,Entertainment,Android,Chennai,0,1081,0,0
TXN000318,102.28,11,Shopping,Web,Chennai,0,1354,0,0
TXN000319,218.98,16,Food,Android,Mumbai,1,1623,0,0
TXN000320,126.95,14,Travel,iOS,Bangalore,0,1008,0,0
TXN000321,166.73,1,Bills,Android,Hyderabad,0,58,1,0
TXN000322,303.14,17,Bills,iOS,Chennai,0,1916,0,0
TXN000323,55.6,15,Shopping,iOS,Mumbai,0,2454,0,0
TXN000324,1827.79,3,Entertainment,Android,Pune,1,2003,1,1
TXN000325,44.38,7,Entertainment,iOS,Mumbai,0,62,0,0
TXN000326,34.57,1,Shopping,Android,Pune,1,989,0,0
TXN000327,595.7,13,Food,Android,Pune,0,649,0,0
TXN000328,383.75,14,Shopping,Android,Delhi,0,2977,0,0
TXN000329,313.86,8,Food,Android,Delhi,0,1325,0,0
TXN000330,315.45,1,Travel,Android,Hyderabad,0,2578,0,0
TXN000331,146.25,16,Travel,iOS,Hyderabad,0,928,1,0
TXN000332,50.57,9,Shopping,Android,Pune,0,2934,0,0
TXN000333,162.55,8,Travel,Android,Hyderabad,1,732,0,0
TXN000334,65.85,1,Entertainment,Android,Hyderabad,1,1971,0,0
TXN000335,478.25,23,Food,Android,Mumbai,0,2685,0,0
TXN000336,124.4,18,Bills,Android,Mumbai,1,2646,0,0
TXN000337,55.11,16,Bills,Android,Mumbai,0,759,0,0
TXN000338,100.92,10,Travel,iOS,Bangalore,0,2361,0,0
TXN000339,243.6,16,Food,Web,Pune,1,2757,0,0
TXN000340,75.45,9,Entertainment,iOS,Hyderabad,0,948,0,0
TXN000341,55.33,17,Bills,Android,Bangalore,0,2213,0,0
TXN000342,198.82,22,Entertainment,Web,Chennai,1,682,0,0
TXN000343,199.13,5,Entertainment,Android,Pune,0,918,0,0
TXN000344,80.78,15,Bills,Android,Chennai,1,1612,1,0
TXN000345,84.33,17,Bills,Android,Mumbai,0,2374,0,0
TXN000346,196.07,19,Travel,Android,Chennai,0,2784,0,0
TXN000347,26.11,17,Food,iOS,Mumbai,0,359,0,0
TXN000348,27.41,0,Shopping,Android,Pune,1,2525,1,0
TXN000349,62.67,2,Food,iOS,Pune,0,44,1,0
TXN000350,114.88,14,Shopping,Android,Hyderabad,0,2293,1,0
TXN000351,215.53,19,Bills,iOS,Bangalore,0,1754,0,0
TXN000352,871.68,9,Entertainment,iOS,Mumbai,0,1306,0,1
TXN000353,415.38,20,Food,Android,Delhi,0,359,0,0
TXN000354,122.5,4,Entertainment,iOS,Delhi,0,2641,0,0
TXN000355,145.06,14,Food,iOS,Hyderabad,2,2034,0,0
TXN000356,44.57,22,Other,iOS,Bangalore,1,1483,1,0
TXN000357,145.15,13,Food,iOS,Mumbai,0,1112,0,0
TXN000358,104.96,14,Entertainment,iOS,Hyderabad,0,2253,0,0
TXN000359,218.6,9,Other,Android,Bangalore,0,1427,0,0
TXN000360,55.0,23,Travel,iOS,Delhi,0,324,1,0
TXN000361,276.78,8,Bills,Android,Mumbai,0,1691,0,0
TXN000362,933.82,11,Travel,Android,Bangalore,1,1607,0,1
TXN000363,130.25,6,Travel,iOS,Chennai,0,2384,0,0
TXN000364,240.34,4,Food,Android,Mumbai,0,390,0,0
TXN000365,339.74,23,Bills,Android,Chennai,2,1819,0,0
TXN000366,91.7,9,Other,Android,Pune,0,1990,0,0
TXN000367,194.2,7,Food,Android,Pune,0,2647,0,0
TXN000368,150.67,21,Shopping,Android,Pune,1,668,0,0
TXN000369,166.87,19,Food,Web,Hyderabad,1,2593,0,0
TXN000370,58.7,15,Other,Android,Bangalore,0,2312,0,0
TXN000371,152.84,11,Entertainment,iOS,Pune,0,2510,0,0
TXN000372,269.78,8,Food,Android,Bangalore,3,416,0,0
TXN000373,846.72,9,Shopping,iOS,Bangalore,0,1085,0,1
TXN000374,469.24,15,Food,Web,Bangalore,1,1740,0,0
TXN000375,1966.12,9,Other,Android,Mumbai,1,1627,0,1
TXN000376,59.1,8,Shopping,iOS,Chennai,2,2303,0,0
TXN000377,422.75,2,Bills,Web,Chennai,0,2221,0,0
TXN000378,184.94,18,Other,iOS,Hyderabad,0,1505,0,0
TXN000379,2054.45,10,Food,Android,Pune,0,2095,0,1
TXN000380,56.26,5,Shopping,iOS,Hyderabad,0,2809,0,0
TXN000381,54.18,5,Other,iOS,Bangalore,0,2823,0,0
TXN000382,72.29,14,Bills,Android,Delhi,0,1443,0,0
TXN000383,11.6,14,Entertainment,Android,Delhi,0,776,1,0
TXN000384,78.97,12,Travel,Android,Bangalore,1,2439,0,0
TXN000385,59.68,21,Shopping,Android,Pune,1,350,0,0
TXN000386,177.77,4,Entertainment,iOS,Chennai,1,2669,0,0
TXN000387,223.66,13,Bills,Android,Hyderabad,1,2150,0,0
TXN000388,1410.08,20,Entertainment,Android,Mumbai,1,2012,0,1
TXN000389,464.29,1,Food,iOS,Delhi,0,878,0,0
TXN000390,74.27,22,Travel,Android,Hyderabad,1,2177,0,0
TXN000391,50.5,11,Shopping,Android,Delhi,0,1535,0,0
TXN000392,267.82,19,Other,Android,Chennai,0,285,0,0
TXN000393,30.44,13,Bills,Android,Chennai,0,1368,0,0
TXN000394,1336.42,18,Travel,Android,Bangalore,0,892,0,1
TXN000395,611.14,23,Bills,Android,Bangalore,0,2239,1,0
TXN000396,84.52,19,Entertainment,Android,Delhi,0,2370,0,0
TXN000397,19.0,14,Bills,iOS,Delhi,0,191,0,0
TXN000398,753.44,19,Bills,iOS,Hyderabad,0,2946,0,1
TXN000399,129.35,23,Entertainment,Android,Bangalore,2,1694,0,0
TXN000400,655.49,16,Entertainment,iOS,Chennai,2,1362,0,0
TXN000401,21.9,13,Travel,iOS,Pune,1,1627,0,0
TXN000402,72.29,22,Shopping,Android,Hyderabad,1,2300,0,0
TXN000403,149.35,17,Entertainment,Web,Hyderabad,0,2384,0,0
TXN000404,157.02,21,Travel,Web,Mumbai,1,43,0,0
TXN000405,86.48,23,Bills,Android,Pune,0,1663,0,0
TXN000406,313.38,4,Bills,Android,Chennai,0,600,0,0
TXN000407,41.22,21,Other,Android,Hyderabad,1,256,0,0
TXN000408,125.1,11,Food,Android,Pune,0,1512,0,0
TXN000409,171.46,9,Entertainment,Web,Mumbai,0,2222,0,0
TXN000410,275.15,7,Travel,Web,Pune,0,1698,0,0
